Page Name;Page Views;Onload (s);TCP (s);First Byte (s);DNS (s);DOM Duration (s);SSL (s);Redirect (s);Base Page (s);Time To DOM Interactive (s);Time To DOM Content Loaded (s);JS Errors (Sampled);Time To Interactive (s);First Contentful Paint (s);Largest Contentful Paint (s);Total Blocking Time (s);First Input Delay Duration (s);Cumulative Layout Shift
product-list;86,686;3.88;0.03;0.56;0.03;3.04;0.03;0.01;0.19;1.79;1.86;30;5;1.28;1.67;0.39;0.03;0.032
product-detail;74,763;4.73;0;0.56;0;3.84;0.01;0.01;0.04;1.53;1.72;180;4.88;1.39;1.73;0.29;0.03;0.033
homepage;13,045;3.61;0.07;0.15;0.07;3.03;0.05;0.07;0.03;1.43;1.61;12;6.48;1.45;2.23;0.6;0.02;0.086
Unnamed_Page;8,452;3.77;0.09;0.29;0.09;3.04;0.07;0;0.08;1.83;1.89;10;5.59;1.38;2.02;1.08;0.05;0.035
Discovery;8,124;2.35;0.01;0.28;0.01;1.9;0.02;0;0.05;1;1.14;1;4.97;0.89;1.44;0.44;0.03;0.025
Inspiration;5,814;4.08;0.08;0.24;0.08;3.37;0.07;0;0.04;1.83;1.99;2;5.35;1.57;1.91;0.48;0.05;0.05
Add to Cart;1,977;0.65;0;0;0;0;0;0;0;0;0;0;5.68;0;0;0;0;N/A
boutique-locator;1,065;3.97;0.04;0.54;0.03;3.21;0.04;0.03;0.05;1.35;1.89;1;2.98;1.29;2.5;0.07;0.01;0.04
account;750;4.14;0.01;1.42;0.01;2.44;0.02;0.11;0.06;2.4;2.58;2;4.64;2.18;2.47;0.06;0.02;0.07
Inspiration - Stories;587;4.78;0.01;0.26;0.01;4.38;0.01;0.01;0.02;0.97;1.12;0;6.17;0.73;1.78;0.64;0.03;0.048
cart;561;4.13;0;1.14;0;2.87;0.01;0.01;0.23;2.13;2.19;3;3.49;2.4;2.81;0.31;0.01;0.038
service;505;2.49;0.02;0.49;0.01;1.83;0.03;0;0.04;1.24;1.29;3;4;1.16;1.54;0.1;0.01;0.056
contactus;334;3.43;0.02;0.59;0.01;2.71;0.02;0;0.04;1.35;1.47;0;2.77;1.34;1.84;0.08;0.01;0.093
wishlist;296;4.4;0.01;1.81;0.01;2.4;0.02;0;0.05;2.64;2.69;4;8.34;2.66;2.98;0.2;0.01;0.046
exclusive-service;295;2.42;0.01;0.62;0.01;1.66;0.03;0.01;0.02;1.38;1.6;0;4.38;1.42;1.73;0.02;0.01;0.035
shipping;241;4.16;0;0.64;0;3.42;0.01;0.04;0.1;1.73;1.89;0;4.25;1.16;1.62;1.1;0.12;0.052
404;219;4.17;0.01;0.53;0.02;2.64;0.03;0.03;0.04;1.7;1.68;0;4.49;3.94;4.64;0.06;0.03;0.086
login;206;1.6;0;0.35;0;1.17;0.01;0;0.05;0.8;0.98;0;1.32;0.88;0.88;0.04;0.01;0.008
Inspiration - Jewelry Creations;184;1.88;0.02;0.36;0.01;1.38;0.03;0;0.02;0.91;0.95;0;1.71;0.87;1.41;0.02;0.01;0.39
confirmation;168;6.19;0;2.35;0;2.44;0.01;0.87;0.05;4.06;4.4;0;5.43;4.18;4.53;0.12;0.01;0.025
Inspiration - Sartoria Solomeo;166;2.33;0.01;0.28;0.02;1.87;0.02;0;0.02;0.97;1.09;0;1.69;0.77;1.42;0;0.03;0.072
Inspiration - Kids New Arrivals;133;3.02;0.01;0.4;0.01;2.39;0.02;0;0.03;1.16;1.22;0;1.66;0.87;1.54;0;0.01;0.062
Return - Open;56;2.77;0;1.24;0;1.46;0.01;0;0.01;1.92;2.02;0;1.91;2.11;2.17;0;0.01;0.003
Inspiration - Leisure Travel;53;2.15;0;0.41;0;1.66;0.01;0;0.02;0.82;0.88;0;0.92;0.79;1.26;0;0.01;0.665
Inspiration - Home Studio;52;2.73;0.1;0.42;0;2.11;0.03;0;0.07;1.18;1.27;0;2.95;1.44;2.11;0;0.01;0.557
billing-payment;40;4.27;0;0.47;0;3.07;0;0.68;0.06;1.54;1.64;0;3.71;1.38;1.91;0.08;0.02;0.126
Inspiration - Dining;39;2.38;0;0.43;0.01;1.86;0.01;0;0.03;0.82;0.93;0;2.31;0.84;1.67;0;0.13;0.725
Return - Confirm;33;3.9;0;2.32;0;1.51;0.01;0;0.02;2.71;2.75;0;1.02;3.51;4.18;0;0.05;0.11
500;30;2.05;0;0.38;0;1.61;0;0;0.03;0.65;0.67;1;1.87;0.76;0.81;0.41;0.01;0.002
Cookie-BoutiqueSelection;21;4.24;0.16;0.56;0.03;3.04;0.12;0;0.04;2.04;2.07;0;2.48;1.99;2.56;0;0;0.065
Inspiration - Tales from the Heart;19;4.12;0.08;0.55;0.06;3.36;0.08;0;0.03;1.19;1.31;0;1.35;1.04;1.64;0;0.01;0.305
setpassword;12;6.17;0.04;0.48;0.03;4.79;0.03;0;0.01;1.99;2.04;1;3.03;2.65;3.01;0;0.03;0.035
Inspiration - The Magic of Suits;10;4.98;0.01;0.54;0;4.1;0.01;0;0.01;1.49;1.58;0;4.9;1.15;1.71;0;0;0.02
Stories-Show;8;13.85;0.02;1.08;0.14;12.54;0.02;0;0.03;5.09;5.13;0;28.8;6.35;7.33;0;0.01;0.065
Account-CloseDoubleOptIn;3;6.1;0.02;4.6;0.01;0.77;0.02;0;0.02;5.57;5.6;0;0;6.07;6.14;0;0;0.001
Inspiration - Comfort Relax;2;1.14;0.02;0.04;0.01;1.04;0.02;0;0.01;0.44;0.59;0;0;0;0;0;0;N/A
CSRF-Fail;2;2.38;0;0.58;0;1.71;0.02;0;0.02;1.48;1.54;0;0;1.44;1.44;0;0;0.017
product-look;1;6.57;0;1.28;0;5.25;0;0;0;2.16;2.18;0;0;1.82;2.49;0;0;0.042
Password Reset;1;16;0;0.4;0;0.45;0.01;0;0.01;15.79;15.86;0;0;0;0;0;0;N/A