Page Name;Page Name;Page Views;Onload (s);TCP (s);First Byte (s);DNS (s);DOM Duration (s);SSL (s);Redirect (s);Base Page (s);Time To DOM Interactive (s);Time To DOM Content Loaded (s);JS Errors (Sampled);Time To Interactive (s);First Contentful Paint (s);Largest Contentful Paint (s);Total Blocking Time (s);First Input Delay Duration (s);Cumulative Layout Shift
product-list;;396,794;4.15;0.02;0.72;0.02;3.19;0.01;0;0.01;1.52;1.59;881;3.67;0.47;1.59;0.67;0.03;0.104
product-detail;;342,854;3.44;0.01;0.63;0.01;2.63;0;0;0.01;1.13;1.32;1,689;3.9;0.58;1.74;0.33;0.01;0.033
homepage;;122,874;3.86;0.06;0.13;0.07;3;0.04;0.08;0;1.58;1.75;275;6.78;5.21;6.35;0.25;0.05;0.062
Inspiration;;18,570;4.37;0.06;0.45;0.03;3.53;0.03;0.01;0.01;1.57;1.76;26;3.55;10.52;14.93;1.13;0;0.022
Discovery;;15,336;2.73;0.01;0.23;0.01;2.35;0;0;0.02;0.81;0.89;47;5.01;2.67;4.68;0;0.38;0.076
Add to Cart;;10,421;0.61;0;0;0;0;0;0;0;0;0;0;1.05;0;0;0;0;N/A
cart;;8,566;4.28;0.03;0.97;0.03;3.15;0.02;0.01;0.01;2;2.05;19;4.04;1.87;2.06;0;0.03;0.361
boutique-locator;;6,205;3.99;0.02;0.44;0.02;3.29;0.01;0.03;0.01;1.36;1.62;15;5.47;0;0;0;0;N/A
account;;6,024;4.18;0.01;1.31;0.01;2.56;0.01;0.13;0;2.22;2.37;94;4.37;1.98;2.1;0;0;0.067
service;;4,142;3.04;0.02;0.51;0.01;2.32;0.01;0.04;0;1.22;1.32;9;2.63;4.08;5.81;0.4;0;0.325
shipping;;1,758;4.15;0;0.67;0;3.36;0;0.04;0;1.88;2.09;35;6.58;0;0;0;0;N/A
wishlist;;1,562;4.2;0.01;1.86;0.01;2.16;0.01;0;0;2.59;2.64;189;4.36;0;0;0;0;N/A
login;;1,514;1.99;0;0.42;0;1.49;0;0;0;0.89;1.12;19;2.66;1.1;1.1;0;0;0.062
Inspiration - Sartoria Solomeo;;1,464;2.64;0.01;0.39;0;2.12;0.01;0;0;0.83;0.87;2;2.03;0;0;0;0;N/A
confirmation;;1,416;6.88;0;2.86;0;3.05;0;0.84;0;4.08;4.51;38;5.67;0;0;0;0;N/A
Inspiration - Home Studio;;1,115;3.28;0.05;0.29;0.04;2.67;0.04;0;0.01;1.12;1.28;0;3.52;6.08;10.21;0;0;0.023
Inspiration - Kids New Arrivals;;1,099;4.85;0.05;0.49;0.07;3.79;0.04;0;0.01;1.6;1.66;2;4.43;0.96;1.5;10.14;0;0.024
exclusive-service;;1,089;2.94;0.01;0.61;0.01;2.2;0.01;0.01;0;1.36;1.54;3;3.27;0.43;1.23;0.03;0;0.072
Inspiration - Stories;;1,081;4.81;0.01;0.32;0.01;4.18;0.01;0.15;0.01;1.15;1.23;3;3.5;0;0;0;0;N/A
contactus;;1,037;4.6;0.02;0.62;0.02;3.71;0.01;0.05;0;1.85;1.96;1;3.15;0.86;0.86;0;0;0.794
404;;796;2.77;0.02;0.5;0.02;2.08;0.01;0.01;0;1.25;1.29;0;3.28;1.68;2.36;0;0;0.162
Inspiration - Jewelry Creations;;794;2.08;0;0.38;0;1.58;0.01;0;0;0.8;0.84;0;2.07;0;0;0;0;N/A
Inspiration - Leisure Travel;;616;2.49;0;0.44;0;1.97;0;0;0;0.78;0.81;1;1.86;0;0;0;0;N/A
Return - Open;;449;2.51;0.01;0.83;0;1.6;0;0;0;1.3;1.44;4;3.1;0;0;0;0;N/A
Inspiration - Dining;;438;2.77;0.04;0.35;0.04;2.19;0.03;0;0;1;1.03;1;1.63;0;0;0;0;N/A
Return - Confirm;;427;3.12;0.01;0.55;0.01;2.34;0.01;0;0;1.13;1.16;5;1.63;0;0;0;0;N/A
billing-payment;;365;3.38;0.02;0.61;0.02;2.17;0.01;0.51;0;1.54;1.6;0;3.94;0;0;0;0;N/A
500;;310;1.63;0;0.37;0;1.16;0;0;0;0.83;0.88;0;1.58;0;0;0;0;N/A
Unnamed_Page;;96;3.1;0.08;0.69;0.01;2.08;0.01;0;0;1.57;1.65;0;6.73;0;0;0;0;N/A
setpassword;;57;3.37;0.09;0.54;0.04;1.93;0.04;0;0;1.84;1.9;2;8.54;0;0;0;0;N/A
Stories-Show;;48;2.98;0.02;0.65;0.03;2.21;0.02;0;0;1.01;1.02;0;1.5;0;0;0;0;N/A
CSRF-Fail;;34;2.98;0;0.62;0.01;2.25;0;0.04;0.01;1.73;1.85;1;0;0;0;0;0;N/A
Inspiration - The Magic of Suits;;33;6.76;0;0.67;0;5.93;0;0;0;1.81;2.35;0;16.94;0;0;0;0;N/A
Cookie-BoutiqueSelection;;29;3.38;0.01;0.44;0.01;2.8;0;0;0;1.02;1.18;0;0;0;0;0;0;N/A
Inspiration - Tales from the Heart;;21;7.43;0;0.47;0;6.86;0;0;0.01;0.94;1.01;1;5.61;0;0;0;0;N/A
Inspiration - Comfort Relax;;11;3.65;0.04;0.54;0.08;2.53;0.03;0;0;1.77;1.83;0;2.64;0;0;0;0;N/A
Password Reset;;11;5.26;0.13;0.52;0.04;4.14;0.12;0.1;0;2;2.22;0;3.4;0;0;0;0;N/A
Account-CloseDoubleOptIn;;9;10.14;0.07;3.39;0.11;4.78;0.05;0;0;6.56;6.77;0;21;0;0;0;0;N/A
product-look;;1;0.79;0;0.43;0;0.35;0;0;0;0.45;0.47;0;0;0;0;0;0;N/A